fiscal_year,filing_date,report_date,accession,primary_document,url,local_file
2025,2025-10-31,2025-09-27,0000320193-25-000079,aapl-20250927.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/reports/FY2025_2025-10-31_0000320193-25-000079_aapl-20250927.htm
2024,2024-11-01,2024-09-28,0000320193-24-000123,aapl-20240928.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/reports/FY2024_2024-11-01_0000320193-24-000123_aapl-20240928.htm
2023,2023-11-03,2023-09-30,0000320193-23-000106,aapl-20230930.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/reports/FY2023_2023-11-03_0000320193-23-000106_aapl-20230930.htm
2022,2022-10-28,2022-09-24,0000320193-22-000108,aapl-20220924.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,data/reports/FY2022_2022-10-28_0000320193-22-000108_aapl-20220924.htm
2021,2021-10-29,2021-09-25,0000320193-21-000105,aapl-20210925.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,data/reports/FY2021_2021-10-29_0000320193-21-000105_aapl-20210925.htm
