fiscal_year,revenue,gross_profit,operating_income,net_income,rd_expense,sga_expense,operating_cash_flow,capex,cash_and_equivalents,current_marketable_securities,noncurrent_marketable_securities,total_assets,commercial_paper,long_term_debt_current,long_term_debt,buybacks,dividends,gross_margin,operating_margin,net_margin,rd_ratio,sga_ratio,fcf,fcf_margin,cash_marketable_securities,total_debt,net_cash,capital_return
2021,365817000000.0,152836000000.0,108949000000.0,94680000000.0,21914000000.0,21973000000.0,104038000000.0,11085000000.0,34940000000.0,27699000000.0,127877000000.0,351002000000.0,6000000000.0,9613000000.0,109106000000.0,85971000000.0,14467000000.0,0.4177935962516778,0.29782377527561593,0.2588179335569424,0.059904269074427925,0.06006555190163388,92953000000.0,0.2540969938521173,190516000000.0,124719000000.0,65797000000.0,100438000000.0
2022,394328000000.0,170782000000.0,119437000000.0,99803000000.0,26251000000.0,25094000000.0,122151000000.0,10708000000.0,23646000000.0,24658000000.0,120805000000.0,352755000000.0,9982000000.0,11128000000.0,98959000000.0,89402000000.0,14841000000.0,0.43309630561360085,0.30288744395528594,0.2530964070519973,0.06657148363798665,0.06363737802032826,111443000000.0,0.2826149804223895,169109000000.0,120069000000.0,49040000000.0,104243000000.0
2023,383285000000.0,169148000000.0,114301000000.0,96995000000.0,29915000000.0,24932000000.0,110543000000.0,10959000000.0,29965000000.0,31590000000.0,100544000000.0,352583000000.0,5985000000.0,9822000000.0,95281000000.0,77550000000.0,15025000000.0,0.4413112957720756,0.2982141226502472,0.2530623426432028,0.07804897139204509,0.06504820172978332,99584000000.0,0.25981710737440805,162099000000.0,111088000000.0,51011000000.0,92575000000.0
2024,391035000000.0,180683000000.0,123216000000.0,93736000000.0,31370000000.0,26097000000.0,118254000000.0,9447000000.0,29943000000.0,35228000000.0,91479000000.0,364980000000.0,9967000000.0,10912000000.0,85750000000.0,94949000000.0,15234000000.0,0.4620634981523393,0.31510222870075566,0.23971255769943867,0.08022299794136074,0.06673827151022287,108807000000.0,0.27825386474356517,156650000000.0,106629000000.0,50021000000.0,110183000000.0
2025,416161000000.0,195201000000.0,133050000000.0,112010000000.0,34550000000.0,27601000000.0,111482000000.0,12715000000.0,35934000000.0,18763000000.0,77723000000.0,359241000000.0,7979000000.0,12350000000.0,78328000000.0,90711000000.0,15421000000.0,0.4690516410716045,0.31970799762591884,0.2691506412181824,0.08302075398703868,0.06632288945864702,98767000000.0,0.23732882225869315,132420000000.0,98657000000.0,33763000000.0,106132000000.0
